Component_ID,Lot_ID,Value_0h,Value_24h,Value_96h,Value_168h,Component_Type,Ground_Truth
C0418,L05,9.18,9.353,10.116,10.992,Normal,Normal
C0419,L05,9.053,9.596,11.032,12.034,Normal,Normal
C0420,L05,9.91,10.427,10.945,11.64,Normal,Normal
C0421,L05,9.615,11.239,16.116,24.816,Gradual_Degradation,Anomaly
C0422,L05,9.861,10.487,11.678,12.182,Normal,Normal
C0423,L05,10.03,10.585,11.329,12.463,Normal,Normal
C0424,L05,10.004,10.705,12.245,13.74,Normal,Normal
C0425,L05,10.105,10.507,11.76,12.983,Normal,Normal
C0426,L05,10.118,10.892,12.01,12.806,Normal,Normal
C0427,L05,9.987,10.133,11.234,11.855,Normal,Normal
C0428,L05,9.687,10.19,11.092,12.154,Normal,Normal
C0429,L05,10.413,10.739,11.657,12.346,Normal,Normal
C0430,L05,10.364,10.767,11.845,12.923,Normal,Normal
C0431,L05,10.425,10.898,11.878,13.671,Normal,Normal
C0432,L05,10.784,12.253,18.025,27.262,Gradual_Degradation,Anomaly
C0433,L05,10.044,10.584,11.645,12.531,Normal,Normal
C0434,L05,9.781,10.309,11.309,12.55,Normal,Normal
C0435,L05,9.278,9.319,9.897,10.331,Normal,Normal
C0436,L05,10.618,11.054,27.298,31.159,Sudden_Degradation,Anomaly
C0437,L05,10.52,11.004,12.296,13.937,Normal,Normal
C0438,L05,9.629,10.045,10.785,12.235,Normal,Normal
C0439,L05,9.405,12.062,17.216,25.068,Gradual_Degradation,Anomaly
C0440,L05,9.561,9.778,10.791,11.39,Normal,Normal
C0441,L05,10.37,10.768,11.31,11.857,Normal,Normal
C0442,L05,9.891,9.863,11.587,12.901,Normal,Normal
C0443,L05,9.99,16.727,32.763,47.196,Latent_Defect,Anomaly
C0444,L05,10.527,12.237,17.588,25.608,Gradual_Degradation,Anomaly
C0445,L05,10.336,10.955,12.249,12.952,Normal,Normal
C0446,L05,8.919,9.47,10.52,11.54,Normal,Normal
C0447,L05,10.087,12.184,15.365,22.429,Gradual_Degradation,Anomaly
C0448,L05,9.802,10.266,11.235,11.578,Normal,Normal
C0449,L05,9.912,10.744,11.905,12.926,Normal,Normal
C0450,L05,9.897,10.267,11.155,12.027,Normal,Normal
C0451,L05,10.641,11.252,12.35,13.202,Normal,Normal
C0452,L05,9.351,10.167,10.923,11.42,Normal,Normal
C0453,L05,9.883,10.476,11.575,12.823,Normal,Normal
C0454,L05,9.455,16.3,25.084,39.454,Latent_Defect,Anomaly
C0455,L05,11.012,11.513,12.766,13.519,Normal,Normal
C0456,L05,11.094,11.215,11.788,12.681,Normal,Normal
C0457,L05,9.785,17.374,29.47,44.134,Latent_Defect,Anomaly
C0458,L05,9.788,9.965,11.022,11.757,Normal,Normal
C0459,L05,10.213,12.221,17.153,23.909,Gradual_Degradation,Anomaly
C0460,L05,9.519,10.185,10.898,12.087,Normal,Normal
C0461,L05,10.742,11.313,12.499,13.416,Normal,Normal
C0462,L05,10.314,10.56,11.825,12.644,Normal,Normal
C0463,L05,9.765,10.318,11.312,12.118,Normal,Normal
C0464,L05,9.602,10.17,11.393,12.32,Normal,Normal
C0465,L05,9.675,10.44,11.514,12.574,Normal,Normal
C0466,L05,10.05,10.668,11.462,12.779,Normal,Normal
C0467,L05,9.015,9.693,10.48,11.241,Normal,Normal
C0468,L05,9.237,9.743,10.621,11.896,Normal,Normal
C0469,L05,10.053,10.67,11.835,13.888,Normal,Normal
C0470,L05,9.597,10.289,11.232,12.601,Normal,Normal
C0471,L05,9.936,10.738,11.861,12.331,Normal,Normal
C0472,L05,9.725,10.019,19.811,25.01,Sudden_Degradation,Anomaly
C0473,L05,10.218,10.799,12.11,13.407,Normal,Normal
C0474,L05,9.524,10.108,21.551,26.871,Sudden_Degradation,Anomaly
C0475,L05,9.748,10.232,11.439,11.415,Normal,Normal
C0476,L05,9.634,9.93,11.133,11.674,Normal,Normal
C0477,L05,10.333,10.926,11.607,12.128,Normal,Normal
C0478,L05,10.432,11.048,12.283,13.182,Normal,Normal
C0479,L05,9.701,10.486,11.306,12.398,Normal,Normal
C0480,L05,10.901,11.478,12.603,14.164,Normal,Normal
C0481,L05,10.325,10.525,11.816,13.137,Normal,Normal
C0482,L05,10.017,10.325,11.507,12.434,Normal,Normal
C0483,L05,10.267,12.622,18.275,26.201,Gradual_Degradation,Anomaly
C0484,L05,10.544,11.229,27.906,32.289,Sudden_Degradation,Anomaly
C0485,L05,9.721,10.001,11.318,12.693,Normal,Normal
C0486,L05,10.317,10.834,11.507,12.352,Normal,Normal
C0487,L05,10.348,11.018,12.0,13.181,Normal,Normal
C0488,L05,10.387,11.986,17.387,25.437,Gradual_Degradation,Anomaly
C0489,L05,10.004,11.739,16.549,24.818,Gradual_Degradation,Anomaly
C0490,L05,10.122,10.899,11.756,12.41,Normal,Normal
C0491,L05,10.347,10.768,11.574,12.882,Normal,Normal
C0492,L05,10.556,13.33,18.034,26.178,Gradual_Degradation,Anomaly
C0493,L05,9.112,9.694,11.069,11.463,Normal,Normal
C0494,L05,10.609,10.935,11.774,12.092,Normal,Normal
C0495,L05,9.442,10.189,11.351,12.29,Normal,Normal
C0496,L05,10.694,11.423,12.315,12.785,Normal,Normal
C0497,L05,9.793,10.345,11.193,11.526,Normal,Normal
C0498,L05,9.336,16.413,27.953,40.104,Latent_Defect,Anomaly
C0499,L05,10.445,11.152,11.82,12.155,Normal,Normal
C0500,L05,9.586,9.953,10.677,11.275,Normal,Normal
C0501,L06,10.104,10.618,11.592,12.667,Normal,Normal
C0502,L06,10.099,10.436,11.046,12.378,Normal,Normal
C0503,L06,10.406,11.946,15.686,24.612,Gradual_Degradation,Anomaly
C0504,L06,10.328,10.52,26.623,31.964,Sudden_Degradation,Anomaly
C0505,L06,10.195,11.665,15.973,25.668,Gradual_Degradation,Anomaly
C0506,L06,10.022,10.471,11.642,12.617,Normal,Normal
C0507,L06,10.562,10.995,11.736,12.68,Normal,Normal
C0508,L06,10.158,10.696,11.565,11.923,Normal,Normal
C0509,L06,10.875,11.651,12.893,13.504,Normal,Normal
C0510,L06,10.18,10.793,11.558,12.282,Normal,Normal
C0511,L06,9.542,9.876,11.387,12.267,Normal,Normal
C0512,L06,10.807,11.507,12.657,13.846,Normal,Normal
C0513,L06,10.038,10.687,12.112,13.384,Normal,Normal
C0514,L06,10.077,10.92,12.125,13.041,Normal,Normal
C0515,L06,10.536,11.509,12.752,13.645,Normal,Normal
C0516,L06,10.553,11.182,11.78,13.057,Normal,Normal
C0517,L06,9.697,10.541,11.702,12.776,Normal,Normal
C0518,L06,9.76,9.906,10.913,11.146,Normal,Normal
C0519,L06,9.993,10.355,25.859,30.483,Sudden_Degradation,Anomaly
C0520,L06,10.875,11.171,12.087,12.975,Normal,Normal
C0521,L06,10.395,12.531,16.976,25.306,Gradual_Degradation,Anomaly
C0522,L06,9.496,9.773,11.657,13.155,Normal,Normal
C0523,L06,9.324,10.795,15.261,24.267,Gradual_Degradation,Anomaly
C0524,L06,9.427,9.655,10.586,11.245,Normal,Normal
C0525,L06,10.088,11.185,12.31,13.649,Normal,Normal
C0526,L06,10.087,12.153,18.799,25.668,Gradual_Degradation,Anomaly
C0527,L06,10.237,10.552,11.24,12.538,Normal,Normal
C0528,L06,10.056,10.905,11.692,12.189,Normal,Normal
C0529,L06,9.891,10.33,10.905,12.144,Normal,Normal
C0530,L06,9.927,10.308,11.615,13.45,Normal,Normal
C0531,L06,9.207,9.331,10.657,12.079,Normal,Normal
C0532,L06,10.0,10.241,11.339,12.709,Normal,Normal
C0533,L06,9.493,10.01,10.909,11.594,Normal,Normal
C0534,L06,10.217,10.556,11.813,12.719,Normal,Normal
C0535,L06,10.019,10.229,11.216,11.91,Normal,Normal
C0536,L06,11.014,11.706,12.79,14.494,Normal,Normal
C0537,L06,10.186,12.342,15.673,23.486,Gradual_Degradation,Anomaly
C0538,L06,9.881,10.667,11.427,12.401,Normal,Normal
C0539,L06,10.619,11.027,25.476,31.417,Sudden_Degradation,Anomaly
C0540,L06,10.248,10.757,11.575,12.659,Normal,Normal
C0541,L06,10.6,11.002,11.678,12.403,Normal,Normal
C0542,L06,9.373,9.579,10.397,10.515,Normal,Normal
C0543,L06,10.449,12.958,17.791,27.901,Gradual_Degradation,Anomaly
C0544,L06,10.134,10.937,12.074,13.656,Normal,Normal
C0545,L06,10.352,12.668,16.752,24.81,Gradual_Degradation,Anomaly
C0546,L06,10.537,13.148,17.793,25.314,Gradual_Degradation,Anomaly
C0547,L06,10.148,10.741,26.824,33.265,Sudden_Degradation,Anomaly
C0548,L06,10.392,10.954,11.644,12.804,Normal,Normal
C0549,L06,10.905,11.361,12.172,12.769,Normal,Normal
C0550,L06,9.621,9.983,10.988,12.349,Normal,Normal
C0551,L06,9.546,12.154,18.041,26.637,Gradual_Degradation,Anomaly
C0552,L06,10.463,10.744,11.795,13.016,Normal,Normal
C0553,L06,9.412,9.733,10.429,11.71,Normal,Normal
C0554,L06,9.237,9.861,11.026,12.277,Normal,Normal
C0555,L06,9.652,10.268,10.983,12.557,Normal,Normal
C0556,L06,9.77,10.257,11.362,11.736,Normal,Normal
C0557,L06,10.048,10.495,11.696,12.579,Normal,Normal
C0558,L06,9.765,10.394,11.621,12.866,Normal,Normal
C0559,L06,9.492,9.943,11.307,12.068,Normal,Normal
C0560,L06,9.094,9.722,10.909,12.44,Normal,Normal
C0561,L06,10.193,10.912,12.202,13.334,Normal,Normal
C0562,L06,10.817,19.572,30.869,47.996,Latent_Defect,Anomaly
C0563,L06,9.591,10.397,11.608,12.672,Normal,Normal
C0564,L06,9.897,10.509,11.697,13.051,Normal,Normal
C0565,L06,9.704,10.229,11.585,13.054,Normal,Normal
C0566,L06,10.279,10.747,12.336,13.337,Normal,Normal
C0567,L06,10.506,11.274,12.395,12.986,Normal,Normal
C0568,L06,9.397,11.546,18.136,25.605,Gradual_Degradation,Anomaly
C0569,L06,9.832,10.401,11.558,13.09,Normal,Normal
C0570,L06,10.423,12.623,17.658,26.216,Gradual_Degradation,Anomaly
C0571,L06,8.735,9.176,9.679,10.895,Normal,Normal
C0572,L06,10.076,10.729,11.589,12.529,Normal,Normal
C0573,L06,9.963,10.373,11.652,12.757,Normal,Normal
C0574,L06,10.166,10.826,12.015,12.693,Normal,Normal
C0575,L06,10.448,16.816,29.393,43.543,Latent_Defect,Anomaly
C0576,L06,10.596,11.072,11.917,12.839,Normal,Normal
C0577,L06,9.897,10.248,11.05,11.768,Normal,Normal
C0578,L06,9.135,9.589,10.512,11.415,Normal,Normal
C0579,L06,9.969,10.565,11.381,12.802,Normal,Normal
C0580,L06,9.493,9.84,10.609,11.091,Normal,Normal
C0581,L06,9.772,10.308,11.194,12.327,Normal,Normal
C0582,L06,10.441,10.865,11.855,12.516,Normal,Normal
C0583,L06,10.287,11.572,16.761,23.698,Gradual_Degradation,Anomaly
C0584,L06,9.417,9.921,10.892,11.182,Normal,Normal
C0585,L06,9.96,10.293,10.937,11.009,Normal,Normal
C0586,L06,10.271,11.099,12.244,13.391,Normal,Normal
C0587,L06,10.197,11.426,15.478,22.979,Gradual_Degradation,Anomaly
C0588,L06,10.851,11.336,12.71,13.686,Normal,Normal
C0589,L06,10.476,10.902,11.745,11.959,Normal,Normal
C0590,L06,9.754,10.323,11.894,13.545,Normal,Normal
C0591,L06,11.109,11.578,11.949,13.294,Normal,Normal
C0592,L06,9.554,10.134,10.958,11.623,Normal,Normal
C0593,L06,9.696,11.48,16.785,24.594,Gradual_Degradation,Anomaly
C0594,L06,10.034,10.623,11.988,12.783,Normal,Normal
C0595,L06,9.641,10.095,11.215,12.403,Normal,Normal
C0596,L06,10.26,10.564,11.687,12.564,Normal,Normal
C0597,L06,9.581,9.903,10.992,12.142,Normal,Normal
C0598,L06,10.677,11.315,11.689,12.455,Normal,Normal
C0599,L06,9.984,10.303,23.99,28.257,Sudden_Degradation,Anomaly
C0600,L06,9.965,10.643,11.461,12.644,Normal,Normal
C0601,L07,8.626,9.026,10.378,11.232,Normal,Normal
C0602,L07,9.7,9.978,11.209,12.295,Normal,Normal
C0603,L07,10.254,11.539,12.556,13.351,Normal,Normal
C0604,L07,10.6,11.056,12.042,12.873,Normal,Normal
C0605,L07,9.715,10.281,11.037,11.818,Normal,Normal
C0606,L07,10.611,11.013,11.853,12.996,Normal,Normal
C0607,L07,9.635,10.286,11.509,12.555,Normal,Normal
C0608,L07,9.68,10.147,11.176,12.695,Normal,Normal
C0609,L07,9.641,10.29,11.441,12.52,Normal,Normal
C0610,L07,10.348,10.555,11.816,12.634,Normal,Normal
C0611,L07,9.555,10.246,11.544,12.959,Normal,Normal
C0612,L07,9.456,9.7,10.208,11.051,Normal,Normal
C0613,L07,10.498,10.905,24.968,28.813,Sudden_Degradation,Anomaly
C0614,L07,9.452,16.751,28.921,36.939,Latent_Defect,Anomaly
C0615,L07,9.907,10.08,11.328,12.654,Normal,Normal
C0616,L07,10.433,12.499,16.74,26.487,Gradual_Degradation,Anomaly
C0617,L07,10.466,10.919,25.378,30.972,Sudden_Degradation,Anomaly
C0618,L07,9.448,10.133,10.974,11.551,Normal,Normal
C0619,L07,10.612,11.06,12.129,13.814,Normal,Normal
C0620,L07,9.969,10.099,10.688,12.483,Normal,Normal
C0621,L07,10.456,10.977,12.232,13.733,Normal,Normal
C0622,L07,10.955,11.617,23.307,27.347,Sudden_Degradation,Anomaly
C0623,L07,9.939,10.457,11.149,12.11,Normal,Normal
C0624,L07,10.074,11.803,16.86,24.648,Gradual_Degradation,Anomaly
C0625,L07,9.524,10.04,10.516,11.749,Normal,Normal
C0626,L07,9.967,10.557,11.433,13.188,Normal,Normal
C0627,L07,10.278,10.511,10.952,12.363,Normal,Normal
C0628,L07,10.215,10.801,11.415,11.856,Normal,Normal
C0629,L07,9.708,10.416,11.395,12.055,Normal,Normal
C0630,L07,10.617,11.104,12.464,13.279,Normal,Normal
C0631,L07,9.794,10.525,11.648,12.574,Normal,Normal
C0632,L07,10.168,11.059,11.313,12.05,Normal,Normal
C0633,L07,10.227,16.244,31.691,46.69,Latent_Defect,Anomaly
C0634,L07,9.933,10.291,11.474,12.537,Normal,Normal
C0635,L07,9.707,10.252,10.596,12.054,Normal,Normal
C0636,L07,10.202,10.787,11.376,12.092,Normal,Normal
C0637,L07,9.856,10.199,11.546,13.061,Normal,Normal
C0638,L07,9.917,10.281,11.377,12.243,Normal,Normal
C0639,L07,9.953,10.347,11.393,12.801,Normal,Normal
C0640,L07,10.007,11.377,16.557,25.25,Gradual_Degradation,Anomaly
C0641,L07,9.365,12.046,18.638,26.989,Gradual_Degradation,Anomaly
C0642,L07,10.813,12.612,17.799,25.551,Gradual_Degradation,Anomaly
C0643,L07,10.6,11.128,12.348,13.263,Normal,Normal
C0644,L07,10.327,10.733,11.147,12.205,Normal,Normal
C0645,L07,9.091,9.743,11.195,11.918,Normal,Normal
C0646,L07,10.654,12.182,17.079,25.659,Gradual_Degradation,Anomaly
C0647,L07,9.647,17.502,29.649,42.976,Latent_Defect,Anomaly
C0648,L07,10.641,11.359,11.971,13.2,Normal,Normal
C0649,L07,10.225,10.351,11.253,12.118,Normal,Normal
C0650,L07,10.748,11.153,25.764,30.009,Sudden_Degradation,Anomaly
C0651,L07,10.524,11.355,12.243,13.04,Normal,Normal
C0652,L07,9.703,10.182,10.609,12.136,Normal,Normal
C0653,L07,10.036,10.454,11.251,12.653,Normal,Normal
C0654,L07,10.048,10.448,11.46,12.637,Normal,Normal
C0655,L07,10.476,10.772,11.699,13.011,Normal,Normal
C0656,L07,9.685,10.199,11.329,12.517,Normal,Normal
C0657,L07,9.646,11.361,14.773,22.163,Gradual_Degradation,Anomaly
C0658,L07,10.339,10.684,10.812,11.662,Normal,Normal
C0659,L07,9.481,9.654,10.73,11.256,Normal,Normal
C0660,L07,10.304,10.947,11.809,12.532,Normal,Normal
C0661,L07,9.423,9.572,11.043,11.699,Normal,Normal
C0662,L07,10.263,10.535,11.234,11.933,Normal,Normal
C0663,L07,9.267,9.666,10.821,12.21,Normal,Normal
C0664,L07,9.812,10.549,11.315,12.847,Normal,Normal
C0665,L07,9.402,10.08,11.262,12.708,Normal,Normal
C0666,L07,10.526,11.071,12.756,13.509,Normal,Normal
C0667,L07,9.232,9.356,10.7,11.784,Normal,Normal
C0668,L07,10.464,11.073,11.787,12.516,Normal,Normal
C0669,L07,9.614,10.28,24.373,30.268,Sudden_Degradation,Anomaly
C0670,L07,10.451,11.289,12.509,14.222,Normal,Normal
C0671,L07,9.172,10.962,16.545,23.508,Gradual_Degradation,Anomaly
C0672,L07,10.309,11.783,17.01,24.022,Gradual_Degradation,Anomaly
C0673,L07,9.577,10.326,11.264,12.477,Normal,Normal
C0674,L07,9.842,10.337,11.016,12.78,Normal,Normal
C0675,L07,9.36,9.898,10.963,11.994,Normal,Normal
C0676,L07,10.811,11.701,12.201,13.624,Normal,Normal
C0677,L07,9.914,10.568,11.269,12.683,Normal,Normal
C0678,L07,10.951,11.5,27.777,33.835,Sudden_Degradation,Anomaly
C0679,L07,10.184,10.713,11.909,12.454,Normal,Normal
C0680,L07,10.606,11.453,12.182,13.651,Normal,Normal
C0681,L07,10.333,11.221,11.993,13.108,Normal,Normal
C0682,L07,10.768,12.505,16.772,26.127,Gradual_Degradation,Anomaly
C0683,L07,10.585,17.719,30.936,50.468,Latent_Defect,Anomaly
C0684,L07,10.05,10.381,10.913,12.514,Normal,Normal
C0685,L07,9.835,10.293,11.283,12.393,Normal,Normal
C0686,L07,10.534,17.626,32.18,46.856,Latent_Defect,Anomaly
C0687,L07,9.396,9.681,11.043,12.5,Normal,Normal
C0688,L07,9.604,10.024,11.089,11.679,Normal,Normal
C0689,L07,10.55,12.975,17.975,27.058,Gradual_Degradation,Anomaly
C0690,L07,10.373,11.16,12.786,13.38,Normal,Normal
C0691,L07,9.819,10.403,12.169,12.912,Normal,Normal
C0692,L07,9.573,10.09,11.149,11.788,Normal,Normal
C0693,L07,9.226,9.777,11.368,12.361,Normal,Normal
C0694,L07,9.581,9.865,11.342,12.572,Normal,Normal
C0695,L07,10.7,10.931,12.111,12.743,Normal,Normal
C0696,L07,8.987,9.649,22.596,28.826,Sudden_Degradation,Anomaly
C0697,L07,9.518,12.169,15.364,22.186,Gradual_Degradation,Anomaly
C0698,L07,10.109,16.13,26.943,40.611,Latent_Defect,Anomaly
C0699,L07,10.039,10.114,10.494,11.22,Normal,Normal
C0700,L07,9.536,9.988,21.4,25.045,Sudden_Degradation,Anomaly
C0701,L08,9.645,10.536,11.588,12.792,Normal,Normal
C0702,L08,11.222,11.614,12.109,12.699,Normal,Normal
C0703,L08,9.86,10.167,10.915,12.186,Normal,Normal
C0704,L08,10.04,10.404,11.468,12.879,Normal,Normal
C0705,L08,10.553,10.94,11.977,12.661,Normal,Normal
C0706,L08,9.898,10.559,11.536,12.506,Normal,Normal
C0707,L08,10.986,11.209,12.57,13.697,Normal,Normal
C0708,L08,9.977,10.311,11.458,12.686,Normal,Normal
C0709,L08,10.098,10.578,11.746,12.42,Normal,Normal
C0710,L08,9.949,10.351,11.555,12.606,Normal,Normal
C0711,L08,9.889,12.708,17.236,26.08,Gradual_Degradation,Anomaly
C0712,L08,9.913,10.199,11.034,11.975,Normal,Normal
C0713,L08,10.42,10.962,11.874,12.294,Normal,Normal
C0714,L08,10.163,10.905,11.98,13.534,Normal,Normal
C0715,L08,10.222,12.663,16.445,26.192,Gradual_Degradation,Anomaly
C0716,L08,10.026,10.641,11.813,12.303,Normal,Normal
C0717,L08,9.356,9.914,11.335,12.556,Normal,Normal
C0718,L08,9.228,9.754,10.721,11.399,Normal,Normal
C0719,L08,9.806,10.223,11.062,12.008,Normal,Normal
C0720,L08,10.143,10.143,11.47,12.32,Normal,Normal
C0721,L08,10.009,10.275,11.313,12.019,Normal,Normal
C0722,L08,10.507,11.042,12.095,12.56,Normal,Normal
C0723,L08,9.794,10.32,24.344,30.165,Sudden_Degradation,Anomaly
C0724,L08,9.181,9.705,10.998,11.156,Normal,Normal
C0725,L08,10.577,11.354,11.562,12.432,Normal,Normal
C0726,L08,10.055,12.258,16.519,22.921,Gradual_Degradation,Anomaly
C0727,L08,9.836,10.294,11.48,12.896,Normal,Normal
C0728,L08,9.298,10.327,24.961,29.604,Sudden_Degradation,Anomaly
C0729,L08,10.59,16.963,29.968,43.272,Latent_Defect,Anomaly
C0730,L08,9.752,10.371,11.468,12.444,Normal,Normal
C0731,L08,10.25,10.643,11.477,13.117,Normal,Normal
C0732,L08,10.601,12.714,17.077,25.502,Gradual_Degradation,Anomaly
C0733,L08,10.64,10.696,11.744,12.746,Normal,Normal
C0734,L08,10.199,10.534,11.359,11.889,Normal,Normal
C0735,L08,9.901,10.815,12.157,12.464,Normal,Normal
C0736,L08,9.41,9.963,11.591,13.229,Normal,Normal
C0737,L08,10.339,10.677,12.038,12.789,Normal,Normal
C0738,L08,9.189,9.776,11.189,12.314,Normal,Normal
C0739,L08,10.344,11.137,12.017,12.773,Normal,Normal
C0740,L08,10.905,11.11,11.558,12.545,Normal,Normal
C0741,L08,10.32,10.845,11.578,12.553,Normal,Normal
C0742,L08,10.426,11.35,12.638,13.659,Normal,Normal
C0743,L08,10.115,10.829,28.336,33.727,Sudden_Degradation,Anomaly
C0744,L08,10.779,11.192,23.652,28.938,Sudden_Degradation,Anomaly
C0745,L08,9.584,9.956,11.113,11.379,Normal,Normal
C0746,L08,9.222,10.095,11.116,11.599,Normal,Normal
C0747,L08,9.652,9.969,11.37,12.843,Normal,Normal
C0748,L08,9.946,10.646,12.024,13.483,Normal,Normal
C0749,L08,9.513,10.215,24.661,30.112,Sudden_Degradation,Anomaly
C0750,L08,9.763,10.19,29.29,34.29,Sudden_Degradation,Anomaly
C0751,L08,10.391,12.075,16.429,22.737,Gradual_Degradation,Anomaly
C0752,L08,10.28,10.817,12.025,13.319,Normal,Normal
C0753,L08,9.507,9.95,11.11,12.759,Normal,Normal
C0754,L08,10.011,10.219,11.788,12.409,Normal,Normal
C0755,L08,9.583,10.236,10.986,11.73,Normal,Normal
C0756,L08,10.055,10.57,11.696,12.803,Normal,Normal
C0757,L08,9.83,17.2,26.184,37.87,Latent_Defect,Anomaly
C0758,L08,9.988,10.343,11.099,11.654,Normal,Normal
C0759,L08,10.129,10.672,11.502,12.672,Normal,Normal
C0760,L08,10.166,10.694,11.696,11.862,Normal,Normal
C0761,L08,10.08,11.023,12.32,13.074,Normal,Normal
C0762,L08,9.936,10.504,11.723,12.959,Normal,Normal
C0763,L08,9.929,10.497,26.301,30.579,Sudden_Degradation,Anomaly
C0764,L08,10.423,11.153,12.134,13.163,Normal,Normal
C0765,L08,10.037,10.507,11.401,12.821,Normal,Normal
C0766,L08,10.169,10.603,11.784,12.443,Normal,Normal
C0767,L08,11.243,11.796,12.909,14.06,Normal,Normal
C0768,L08,9.703,11.829,17.804,26.861,Gradual_Degradation,Anomaly
C0769,L08,10.436,12.31,17.133,24.205,Gradual_Degradation,Anomaly
C0770,L08,10.036,10.574,11.299,11.964,Normal,Normal
C0771,L08,9.93,12.053,16.235,23.932,Gradual_Degradation,Anomaly
C0772,L08,10.012,16.748,25.876,37.244,Latent_Defect,Anomaly
C0773,L08,10.141,10.214,11.219,12.638,Normal,Normal
C0774,L08,9.431,16.456,28.093,41.88,Latent_Defect,Anomaly
C0775,L08,10.498,11.338,12.758,13.605,Normal,Normal
C0776,L08,10.255,10.658,11.298,11.372,Normal,Normal
C0777,L08,10.429,10.763,12.032,12.363,Normal,Normal
C0778,L08,9.999,10.503,24.587,29.428,Sudden_Degradation,Anomaly
C0779,L08,9.815,10.045,11.189,12.461,Normal,Normal
C0780,L08,10.075,10.517,23.527,28.345,Sudden_Degradation,Anomaly
C0781,L08,8.911,9.447,10.884,12.207,Normal,Normal
C0782,L08,9.947,11.765,16.211,22.243,Gradual_Degradation,Anomaly
C0783,L08,10.052,10.96,25.535,32.039,Sudden_Degradation,Anomaly
C0784,L08,9.995,17.291,27.665,43.312,Latent_Defect,Anomaly
C0785,L08,10.113,10.616,26.193,30.631,Sudden_Degradation,Anomaly
C0786,L08,9.289,11.083,16.884,24.386,Gradual_Degradation,Anomaly
C0787,L08,9.609,9.957,11.028,11.497,Normal,Normal
C0788,L08,9.67,9.838,10.215,11.18,Normal,Normal
C0789,L08,9.925,10.36,11.083,11.886,Normal,Normal
C0790,L08,9.808,10.365,11.42,12.941,Normal,Normal
C0791,L08,10.293,10.711,12.182,13.209,Normal,Normal
C0792,L08,9.68,10.002,10.586,10.946,Normal,Normal
C0793,L08,9.391,9.923,10.77,11.41,Normal,Normal
C0794,L08,10.723,12.729,16.934,25.355,Gradual_Degradation,Anomaly
C0795,L08,9.572,10.091,10.94,11.902,Normal,Normal
C0796,L08,9.933,10.515,11.396,11.922,Normal,Normal
C0797,L08,9.8,17.069,31.699,44.568,Latent_Defect,Anomaly
C0798,L08,10.599,10.803,12.158,13.35,Normal,Normal
C0799,L08,9.899,10.293,10.873,12.401,Normal,Normal
C0800,L08,10.149,11.715,15.941,23.63,Gradual_Degradation,Anomaly
C0801,L09,9.693,10.051,11.406,13.075,Normal,Normal
C0802,L09,9.507,12.069,16.949,23.516,Gradual_Degradation,Anomaly
C0803,L09,9.738,10.336,11.238,12.558,Normal,Normal
C0804,L09,9.445,10.174,10.756,11.992,Normal,Normal
C0805,L09,9.638,10.099,10.938,11.832,Normal,Normal
C0806,L09,9.469,9.96,11.056,12.718,Normal,Normal
C0807,L09,10.07,10.769,11.628,12.456,Normal,Normal
C0808,L09,9.877,10.496,11.274,12.751,Normal,Normal
C0809,L09,10.475,11.024,11.952,12.284,Normal,Normal
C0810,L09,10.372,10.705,22.018,26.128,Sudden_Degradation,Anomaly
C0811,L09,9.968,10.575,11.785,12.684,Normal,Normal
C0812,L09,10.757,12.916,17.276,23.368,Gradual_Degradation,Anomaly
C0813,L09,9.803,12.204,17.332,25.903,Gradual_Degradation,Anomaly
C0814,L09,10.392,12.641,17.196,25.066,Gradual_Degradation,Anomaly
C0815,L09,10.835,11.146,11.923,13.44,Normal,Normal
C0816,L09,9.432,11.627,15.495,23.714,Gradual_Degradation,Anomaly
C0817,L09,10.505,10.836,11.571,11.535,Normal,Normal
C0818,L09,10.03,12.41,17.133,23.521,Gradual_Degradation,Anomaly
C0819,L09,9.869,10.301,11.527,12.052,Normal,Normal
C0820,L09,10.091,10.834,12.035,13.646,Normal,Normal
C0821,L09,10.444,18.205,26.484,42.212,Latent_Defect,Anomaly
C0822,L09,9.714,10.254,24.555,28.782,Sudden_Degradation,Anomaly
C0823,L09,10.19,10.936,12.285,13.25,Normal,Normal
C0824,L09,10.427,10.853,12.014,13.185,Normal,Normal
C0825,L09,9.86,10.104,11.199,12.934,Normal,Normal
C0826,L09,9.416,10.02,10.992,11.897,Normal,Normal
C0827,L09,10.558,11.096,12.272,13.239,Normal,Normal
C0828,L09,10.167,10.701,11.518,12.663,Normal,Normal
C0829,L09,10.156,10.278,10.933,12.071,Normal,Normal
C0830,L09,10.729,16.233,28.944,43.327,Latent_Defect,Anomaly
C0831,L09,10.253,11.043,12.377,13.981,Normal,Normal
C0832,L09,9.875,10.876,11.949,12.116,Normal,Normal
C0833,L09,10.277,10.667,11.629,12.298,Normal,Normal
C0834,L09,9.62,10.506,10.914,12.214,Normal,Normal
C0835,L09,8.967,10.979,15.955,23.409,Gradual_Degradation,Anomaly
C0836,L09,10.298,10.752,12.245,13.389,Normal,Normal
C0837,L09,9.568,16.537,33.319,48.073,Latent_Defect,Anomaly
C0838,L09,9.95,10.131,10.984,12.238,Normal,Normal
C0839,L09,10.011,11.449,16.544,23.869,Gradual_Degradation,Anomaly
C0840,L09,10.589,11.046,11.891,12.856,Normal,Normal
